"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Proximidade_Costa(milhas)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora","onda","vento","chuva"
"129","20:30:00","Noturno","4.757","2.4471666666667","Benin","Oil Ship Transporter","IlhasMarshall","Navegar","95","Águas Internacionais","NCONSEGUIDO","","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","2020-11-09 00:00:00","2020-11-09 20:30:00","0.95999997854233","3.599609375","1.7617136745253E-5"
"130","00:45:00","Noturno ","6.2883333333333","2.4683333333333","Benin","Cargo Ship","IlhasMarshall","Fundeado","4","Mar Territorial","ROUBO","2","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2012-07-17 00:00:00","2012-07-17 00:45:00","2","4.740234375","0"
"131","23:30:00","Noturno ","6.1431666666667","2.471","Benin","Oil Ship Transporter","Grécia","Navegar","12","Mar Territorial","ROUBO","4","Desconhecido","0","0","0","1","2","1","2","0","0","1","0","0","0","1","0","1","0","2011-06-23 00:00:00","2011-06-23 23:30:00","1.48","5.5703125","0.00024491516523995"
"132","02:05:00","Noturno ","6","2.4833333333333","Benin","Oil Ship Transporter","Singapura","Navegar","25","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-06-30 00:00:00","2011-06-30 02:05:00","1.47","4.330078125","6.7060356837158E-6"
"133","08:50:00","Diurno","5.1111666666667","2.4928333333333","Benin","Oil Ship Transporter","IlhasMarshall","Navegar","86","Águas Internacionais","NCONSEGUIDO","30","Desconhecido","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2011-08-21 00:00:00","2011-08-21 08:50:00","1.86","6.7197265625","2.8936217482812E-6"
"134","01:15:00","Noturno","6.2566666666667","2.5083333333333","Benin","Cargo Ship","Panamá","Fundeado","7.5","Mar Territorial","ROUBO","8","Machine Gun/ Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2018-03-22 00:00:00","2018-03-22 01:15:00","1.22","4.830078125","0"
"135","01:35:00","Noturno ","6.1466666666667","2.5133333333333","Benin","Oil Ship Transporter","Libéria","Fundeado","15","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","1","3","1","3","0","0","0","0","0","0","0","0","1","1","2011-07-16 00:00:00","2011-07-16 01:35:00","0.91","4.1904296875","2.5897223167703E-5"
"136","07:45:00","Diurno","6.2666666666667","2.5166666666667","Benin","Oil Ship Transporter","Panamá","Fundeado","5","Mar Territorial","HIJACK","","Desconhecido","1","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-02-01 00:00:00","2018-02-01 07:45:00","1.1","3.150390625","0"
"137","23:30:00","Noturno","6.2798333333333","2.54","Benin","Cargo Ship","Portugal","Fundeado","5.5","Mar Territorial","RAPTO","","Desconhecido","0","0","0","1","8","0","0","0","0","1","1","1","0","1","0","0","0","2020-04-18 00:00:00","2020-04-18 23:30:00","1.1000000238419","4.8798828125","4.4042841863133E-6"
"138","03:20:00","Noturno","6.2483333333333","2.5483333333333","Benin","Bulk Carrier","Noruega","Fundeado","9","Mar Territorial","RAPTO","","Desconhecido","0","0","0","1","9","0","0","0","0","1","0","1","0","0","0","0","0","2019-11-02 00:00:00","2019-11-02 03:20:00","1.28","2.169921875","3.7500536564039E-5"
