"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora"
"63","01:24:00","Noturno ","6.1583333333333","2.5333333333333","Benin","Chemical Tanker","Malta","Navegar","","Águas Internacionais","HIJACK/ROUBO","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-06-24 00:00:00","2011-06-24 01:24:00"
"64","02:05:00","Noturno ","6","2.4833333333333","Benin","Tanker","Singapura","Navegar","","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-06-30 00:00:00","2011-06-30 02:05:00"
"65","22:30:00","Noturno ","6.26","2.3833333333333","Benin","TANKER","Bahamas","Fundeado","","Mar Territorial","NCONSEGUIDO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-07-06 00:00:00","2011-07-06 22:30:00"
"66","21:40:00","Noturno ","9.1","-14.105","Guiné","Bulk Carrier","Malta","Navegar","","Águas Internacionais","NCONSEGUIDO","6","Machine Gun/RPG","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-07-09 00:00:00","2011-07-09 21:40:00"
"67","01:35:00","Noturno ","6.1466666666667","2.5133333333333","Benin","Tanker","Libéria","Fundeado","","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","1","3","1","3","0","0","0","0","0","0","0","0","1","1","2011-07-16 00:00:00","2011-07-16 01:35:00"
"68","19:35:00","Diurno","-8.4166666666667","12.35","Angola","Tanker","Panamá","Navegar","","Águas Internacionais","NCONSEGUIDO","6","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2011-07-19 00:00:00","2011-07-19 19:35:00"
"69","03:40:00","Noturno ","9.509","-13.718333333333","Guiné","Vehicle Carrier","Filipinas","Atracado","","Área Portuária","ROUBO","6","Machine Gun","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2011-07-22 00:00:00","2011-07-22 03:40:00"
"70","01:40:00","Noturno ","5.9893333333333","2.4018333333333","Benin","Tanker","Itália","Navegar","","Águas Internacionais","HIJACK/ROUBO","6","Machine Gun","1","0","0","1","23","0","0","0","0","0","0","0","0","0","0","1","0","2011-07-24 00:00:00","2011-07-24 01:40:00"
"71","01:50:00","Noturno ","5.9666666666667","2.4333333333333","Benin","Chemical Tanker","Bahamas","Fundeado","","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-07-31 00:00:00","2011-07-31 01:50:00"
"72","00:15:00","Noturno ","-4.755","11.74","Congo","Cargo Ship","Panamá","Fundeado","","Mar Territorial","ROUBO","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-08-01 00:00:00","2011-08-01 00:15:00"
"73","00:50:00","Noturno ","-4.765","11.778333333333","Congo","Cargo Ship","Libéria","Fundeado","","Mar Territorial","ROUBO","4","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2011-08-07 00:00:00","2011-08-07 00:50:00"
"74","23:25:00","Noturno ","5.6333333333333","2.65","Benin","Chemical Tanker","Gibraltar","Navegar","","Águas Internacionais","HIJACK","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-08-20 00:00:00","2011-08-20 23:25:00"
"75","08:50:00","Diurno","5.1111666666667","2.4928333333333","Benin","Oil Tanker","IlhasMarshall","Navegar","","Águas Internacionais","NCONSEGUIDO","30","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2011-08-21 00:00:00","2011-08-21 08:50:00"
